ref_no,name,description,category,page_no,catalogue,image_url,website_url,catalog_page_image_url,keywords,attributes_json
LS-1001,Hot Surface Warning Label 100mm,"Small vinyl warning label with red triangle pictogram for hot surface hazards. ISO 7010 compliant, 100mm diameter. Suitable for machinery, engines and heated equipment.",Warning Labels,12,labels_signs,https://picsum.photos/seed/hotsurface100/400/300,https://www.tvh.com/en-be/search?q=hot+surface+warning+label,https://picsum.photos/seed/cat-ls12/600/420,"hot surface, burn hazard, warning label, machinery, ISO 7010, vinyl, 100mm","{""material"": ""vinyl"", ""diameter_mm"": 100, ""standard"": ""ISO 7010""}"
LS-1002,Hot Surface Warning Label 200mm,"Large vinyl warning label with red triangle pictogram for hot surface hazards. ISO 7010 compliant, 200mm diameter. Ideal for boilers, large machinery panels and industrial equipment.",Warning Labels,12,labels_signs,https://picsum.photos/seed/hotsurface200/400/300,https://www.tvh.com/en-be/search?q=hot+surface+warning+label+200mm,https://picsum.photos/seed/cat-ls12/600/420,"hot surface, burn hazard, warning label, machinery, ISO 7010, vinyl, 200mm","{""material"": ""vinyl"", ""diameter_mm"": 200, ""standard"": ""ISO 7010""}"
LS-1010,No Smoking Prohibition Sign 150mm,"Aluminium no smoking prohibition sign with red circle and diagonal bar. ISO 7010 compliant, 150mm diameter. Suitable for indoor and outdoor installation.",Prohibition Signs,14,labels_signs,https://picsum.photos/seed/nosmoking150/400/300,https://www.tvh.com/en-be/search?q=no+smoking+prohibition+sign,https://picsum.photos/seed/cat-ls14/600/420,"no smoking, prohibition sign, aluminium, ISO 7010, indoor outdoor, fire hazard","{""material"": ""aluminium"", ""diameter_mm"": 150, ""standard"": ""ISO 7010""}"
LS-1011,No Open Flames Prohibition Sign 150mm,"Aluminium prohibition sign for areas where open flames are not permitted. Red circle with diagonal bar. ISO 7010 compliant, 150mm. Used near fuel storage and gas areas.",Prohibition Signs,14,labels_signs,https://picsum.photos/seed/noopenflame/400/300,https://www.tvh.com/en-be/search?q=no+open+flames+prohibition+sign,https://picsum.photos/seed/cat-ls14/600/420,"no open flames, prohibition, fire risk, gas area, fuel storage, aluminium, ISO 7010","{""material"": ""aluminium"", ""diameter_mm"": 150, ""standard"": ""ISO 7010""}"
LS-1020,Safety Helmet Mandatory Sign 100mm,"Blue mandatory sign requiring safety helmets to be worn. Vinyl, 100mm diameter. ISO 7010 compliant. Suitable for construction sites, warehouses and loading bays.",Mandatory Signs,16,labels_signs,https://picsum.photos/seed/helmet100/400/300,https://www.tvh.com/en-be/search?q=safety+helmet+mandatory+sign,https://picsum.photos/seed/cat-ls16/600/420,"safety helmet, hard hat, mandatory, PPE, blue circle, warehouse, construction, ISO 7010","{""material"": ""vinyl"", ""diameter_mm"": 100, ""standard"": ""ISO 7010""}"
LS-1021,Ear Protection Mandatory Sign 100mm,"Blue mandatory sign requiring ear protection to be worn. Vinyl, 100mm diameter. ISO 7010 compliant. Ideal for noisy machinery environments and compressor rooms.",Mandatory Signs,16,labels_signs,https://picsum.photos/seed/earprotection/400/300,https://www.tvh.com/en-be/search?q=ear+protection+mandatory+sign,https://picsum.photos/seed/cat-ls16/600/420,"ear protection, ear defenders, mandatory, PPE, blue circle, noise, compressor, ISO 7010","{""material"": ""vinyl"", ""diameter_mm"": 100, ""standard"": ""ISO 7010""}"
LS-1022,Safety Gloves Mandatory Sign 100mm,"Blue mandatory sign requiring protective gloves to be worn. Vinyl, 100mm diameter. ISO 7010 compliant. Suitable for chemical handling and general warehouse use.",Mandatory Signs,16,labels_signs,https://picsum.photos/seed/gloves100/400/300,https://www.tvh.com/en-be/search?q=safety+gloves+mandatory+sign,https://picsum.photos/seed/cat-ls16/600/420,"safety gloves, protective gloves, mandatory, PPE, blue circle, chemical handling, ISO 7010","{""material"": ""vinyl"", ""diameter_mm"": 100, ""standard"": ""ISO 7010""}"
LS-1030,Fire Extinguisher Location Sign 150mm,"Aluminium fire safety sign indicating fire extinguisher location. Red square, 150mm. ISO 7010 compliant. Essential for fire safety compliance in warehouses and commercial buildings.",Fire Safety Signs,18,labels_signs,https://picsum.photos/seed/fireext150/400/300,https://www.tvh.com/en-be/search?q=fire+extinguisher+location+sign,https://picsum.photos/seed/cat-ls18/600/420,"fire extinguisher, fire safety, location sign, red, aluminium, ISO 7010, warehouse","{""material"": ""aluminium"", ""size_mm"": 150, ""standard"": ""ISO 7010""}"
LS-1031,Fire Hose Reel Location Sign 150mm,"Aluminium fire safety sign indicating fire hose reel location. Red square, 150mm. ISO 7010 compliant. Required in buildings with fixed fire hose reel systems.",Fire Safety Signs,18,labels_signs,https://picsum.photos/seed/firehose150/400/300,https://www.tvh.com/en-be/search?q=fire+hose+reel+location+sign,https://picsum.photos/seed/cat-ls18/600/420,"fire hose reel, fire safety, location sign, red, aluminium, ISO 7010","{""material"": ""aluminium"", ""size_mm"": 150, ""standard"": ""ISO 7010""}"
LS-1040,Emergency Exit Sign Left 210x300mm,"Rigid PVC emergency exit sign with running man pictogram pointing left. Green rectangle, 210x300mm. ISO 7010 compliant. Suitable for corridors and exits in all premises.",Emergency & First Aid Signs,20,labels_signs,https://picsum.photos/seed/emergexitleft/400/300,https://www.tvh.com/en-be/search?q=emergency+exit+sign+left,https://picsum.photos/seed/cat-ls20/600/420,"emergency exit, running man, left, green, fire exit, PVC, ISO 7010, escape route","{""material"": ""rigid PVC"", ""size_mm"": ""210x300"", ""standard"": ""ISO 7010""}"
LS-1041,Emergency Exit Sign Right 210x300mm,"Rigid PVC emergency exit sign with running man pictogram pointing right. Green rectangle, 210x300mm. ISO 7010 compliant. For exits and emergency escape routes.",Emergency & First Aid Signs,20,labels_signs,https://picsum.photos/seed/emergexitright/400/300,https://www.tvh.com/en-be/search?q=emergency+exit+sign+right,https://picsum.photos/seed/cat-ls20/600/420,"emergency exit, running man, right, green, fire exit, PVC, ISO 7010, escape route","{""material"": ""rigid PVC"", ""size_mm"": ""210x300"", ""standard"": ""ISO 7010""}"
LS-1042,First Aid Station Sign 150mm,"Vinyl first aid sign with green cross on white background. 150mm square. ISO 7010 compliant. Marks first aid kits and medical stations clearly.",Emergency & First Aid Signs,20,labels_signs,https://picsum.photos/seed/firstaid150/400/300,https://www.tvh.com/en-be/search?q=first+aid+station+sign,https://picsum.photos/seed/cat-ls20/600/420,"first aid, green cross, medical station, first aid kit, ISO 7010, vinyl, 150mm","{""material"": ""vinyl"", ""size_mm"": 150, ""standard"": ""ISO 7010""}"
LS-2001,Forklift Max Load Capacity Decal 2500kg,"Vinyl decal clearly displaying maximum safe load capacity of 2500kg for forklift trucks. Applied to the mast. Waterproof and oil-resistant.",Capacity & Load Decals,24,labels_signs,https://picsum.photos/seed/forkload2500/400/300,https://www.tvh.com/en-be/search?q=forklift+load+capacity+decal+2500kg,https://picsum.photos/seed/cat-ls24/600/420,"forklift, load capacity, 2500kg, max load, mast decal, vinyl, weight limit","{""material"": ""vinyl decal"", ""load_kg"": 2500, ""equipment"": ""forklift""}"
LS-2002,Forklift Max Load Capacity Decal 5000kg,"Vinyl decal clearly displaying maximum safe load capacity of 5000kg for heavy-duty forklift trucks. Applied to the mast. Waterproof and oil-resistant.",Capacity & Load Decals,24,labels_signs,https://picsum.photos/seed/forkload5000/400/300,https://www.tvh.com/en-be/search?q=forklift+load+capacity+decal+5000kg,https://picsum.photos/seed/cat-ls24/600/420,"forklift, load capacity, 5000kg, max load, mast decal, vinyl, heavy duty, weight limit","{""material"": ""vinyl decal"", ""load_kg"": 5000, ""equipment"": ""forklift""}"
LS-2010,Skid Steer Tyre Pressure Decal,"Vinyl decal showing correct tyre pressure specifications in both bar and psi for skid steer loaders. Waterproof. Applied near tyre access panels.",Capacity & Load Decals,25,labels_signs,https://picsum.photos/seed/tyreskid/400/300,https://www.tvh.com/en-be/search?q=skid+steer+tyre+pressure+decal,https://picsum.photos/seed/cat-ls25/600/420,"tyre pressure, skid steer loader, bar psi, decal, inflation, specifications","{""material"": ""vinyl decal"", ""equipment"": ""skid steer loader""}"
LS-2020,Overhead Electric Wiring Warning Decal (MEWP),"Vinyl warning decal alerting MEWP operators to the risk of overhead electric cables. Applied to the boom. High-visibility design for operator safety.",Warning Labels,26,labels_signs,https://picsum.photos/seed/mewpoverhead/400/300,https://www.tvh.com/en-be/search?q=overhead+electric+wiring+warning+MEWP,https://picsum.photos/seed/cat-ls26/600/420,"overhead cables, electric wiring, MEWP, mobile elevating work platform, warning, boom, electrocution risk","{""material"": ""vinyl decal"", ""equipment"": ""mobile elevating work platform""}"
LS-3001,Colour Code Labels White Round 25mm (480/box),"Box of 480 white round colour-coding labels, 25mm diameter. Self-adhesive vinyl. Used for inventory management, warehouse colour coding and stock rotation systems.",Stock Control Labels,30,labels_signs,https://picsum.photos/seed/colorwhite25/400/300,https://www.tvh.com/en-be/search?q=colour+code+labels+white+25mm,https://picsum.photos/seed/cat-ls30/600/420,"colour code labels, white, round, 25mm, inventory, stock control, warehouse, self-adhesive","{""colour"": ""white"", ""diameter_mm"": 25, ""qty_per_box"": 480}"
LS-3002,Colour Code Labels Red Round 25mm (480/box),"Box of 480 red round colour-coding labels, 25mm diameter. Self-adhesive vinyl. Used for urgent stock flagging, quality control rejection and inventory management.",Stock Control Labels,30,labels_signs,https://picsum.photos/seed/colorred25/400/300,https://www.tvh.com/en-be/search?q=colour+code+labels+red+25mm,https://picsum.photos/seed/cat-ls30/600/420,"colour code labels, red, round, 25mm, inventory, stock control, urgent, rejection, warehouse","{""colour"": ""red"", ""diameter_mm"": 25, ""qty_per_box"": 480}"
LS-3003,Colour Code Labels Yellow Round 25mm (480/box),"Box of 480 yellow round colour-coding labels, 25mm diameter. Self-adhesive vinyl. Used for caution flagging, quality hold and warehouse inventory tracking.",Stock Control Labels,30,labels_signs,https://picsum.photos/seed/coloryellow25/400/300,https://www.tvh.com/en-be/search?q=colour+code+labels+yellow+25mm,https://picsum.photos/seed/cat-ls30/600/420,"colour code labels, yellow, round, 25mm, inventory, stock control, caution, warehouse","{""colour"": ""yellow"", ""diameter_mm"": 25, ""qty_per_box"": 480}"
LS-3010,Blank White Sheet Labels 25x38mm (320/pack),"Pack of 320 blank white self-adhesive sheet labels, 25x38mm. Compatible with most thermal and inkjet label printers. Ideal for custom warehouse labelling.",Stock Control Labels,31,labels_signs,https://picsum.photos/seed/blankwhite/400/300,https://www.tvh.com/en-be/search?q=blank+white+sheet+labels+25x38mm,https://picsum.photos/seed/cat-ls31/600/420,"blank labels, white, sheet, 25x38mm, thermal, inkjet, warehouse, custom, self-adhesive","{""size_mm"": ""25x38"", ""qty_per_pack"": 320}"
LS-4001,Crane Hand Signal Chart Decal,"Rigid PVC instructional decal showing standardised crane and lifting operation hand signals. Essential for safe lifting operations. Weatherproof for outdoor use.",Instructional Signs,34,labels_signs,https://picsum.photos/seed/cranehand/400/300,https://www.tvh.com/en-be/search?q=crane+hand+signal+chart,https://picsum.photos/seed/cat-ls34/600/420,"crane signals, hand signals, lifting operations, instructional, crane operator, banksman, PVC","{""material"": ""rigid PVC"", ""equipment"": ""crane""}"
LS-4002,Forklift Seatbelt Reminder Decal,"Vinyl decal reminding forklift operators to fasten their seatbelt before operating the vehicle. Applied inside the forklift cabin. High-visibility text and icon.",Instructional Signs,34,labels_signs,https://picsum.photos/seed/seatbeltfork/400/300,https://www.tvh.com/en-be/search?q=forklift+seatbelt+reminder+decal,https://picsum.photos/seed/cat-ls34/600/420,"seatbelt, forklift, reminder, operator safety, cabin decal, vinyl, restraint","{""material"": ""vinyl decal"", ""equipment"": ""forklift""}"
LS-4003,Battery Acid Hazard Warning Decal,"Vinyl warning decal alerting to battery acid hazard in forklift battery charging areas. Corrosion pictogram. Essential safety signage for any charging station.",Warning Labels,35,labels_signs,https://picsum.photos/seed/batteryacid/400/300,https://www.tvh.com/en-be/search?q=battery+acid+hazard+warning+decal,https://picsum.photos/seed/cat-ls35/600/420,"battery acid, hazard, charging area, forklift, corrosive, fumes, warning decal, vinyl","{""material"": ""vinyl decal"", ""equipment"": ""battery charger""}"
LS-5001,Reflective Hazard Tape Red/White 50mm × 25m,"High-visibility red and white chevron reflective hazard tape. 50mm wide, 25m roll. Self-adhesive. Used to mark hazardous areas, machinery perimeters and loading zones.",Reflective Tape,38,labels_signs,https://picsum.photos/seed/hazaredwhite/400/300,https://www.tvh.com/en-be/search?q=reflective+hazard+tape+red+white,https://picsum.photos/seed/cat-ls38/600/420,"reflective tape, hazard tape, red white, chevron, 50mm, 25m, self-adhesive, floor marking, safety zone","{""width_mm"": 50, ""length_m"": 25, ""colour"": ""red/white""}"
LS-5002,Reflective Hazard Tape Yellow/Black 50mm × 25m,"High-visibility yellow and black chevron reflective hazard tape. 50mm wide, 25m roll. Self-adhesive. Standard hazard area marking for floors and machinery.",Reflective Tape,38,labels_signs,https://picsum.photos/seed/hazaryellow/400/300,https://www.tvh.com/en-be/search?q=reflective+hazard+tape+yellow+black,https://picsum.photos/seed/cat-ls38/600/420,"reflective tape, hazard tape, yellow black, chevron, 50mm, 25m, self-adhesive, floor marking, safety zone","{""width_mm"": 50, ""length_m"": 25, ""colour"": ""yellow/black""}"
